INFO 2024-10-22 12:56:39,261 autoreload Watching for file changes with StatReloader
DEBUG 2024-10-22 12:56:39,427 autoreload File /usr/lib/python3/dist-packages/pytz/lazy.py first seen with mtime 1648114908.0
DEBUG 2024-10-22 12:56:39,427 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/pygments/regexopt.py first seen with mtime 1716371656.3499575
DEBUG 2024-10-22 12:56:39,427 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/contrib/admin/views/autocomplete.py first seen with mtime 1729519782.941352
DEBUG 2024-10-22 12:56:39,427 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/pygments/lexer.py first seen with mtime 1716371656.3499575
DEBUG 2024-10-22 12:56:39,427 autoreload File /usr/lib/python3/dist-packages/chardet/chardistribution.py first seen with mtime 1605650645.0
DEBUG 2024-10-22 12:56:39,427 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/urls/conf.py first seen with mtime 1729519783.3543649
DEBUG 2024-10-22 12:56:39,427 autoreload File /usr/lib/python3/dist-packages/apport_python_hook.py first seen with mtime 1681427306.0
DEBUG 2024-10-22 12:56:39,427 autoreload File /usr/lib/python3/dist-packages/cryptography/hazmat/backends/__init__.py first seen with mtime 1629825437.0
DEBUG 2024-10-22 12:56:39,427 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/contrib/admin/sites.py first seen with mtime 1729519782.8483489
DEBUG 2024-10-22 12:56:39,427 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/core/handlers/wsgi.py first seen with mtime 1729519783.3103635
DEBUG 2024-10-22 12:56:39,427 autoreload File /usr/lib/python3/dist-packages/idna/__init__.py first seen with mtime 1615223195.0
DEBUG 2024-10-22 12:56:39,428 autoreload File /usr/lib/python3/dist-packages/colorama/win32.py first seen with mtime 1602564393.0
DEBUG 2024-10-22 12:56:39,428 autoreload File /usr/lib/python3/dist-packages/cryptography/hazmat/primitives/asymmetric/ed448.py first seen with mtime 1629825437.0
DEBUG 2024-10-22 12:56:39,428 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/db/backends/base/validation.py first seen with mtime 1729519783.3193638
DEBUG 2024-10-22 12:56:39,428 autoreload File /usr/lib/python3.10/importlib/machinery.py first seen with mtime 1726069656.0
DEBUG 2024-10-22 12:56:39,428 autoreload File /home/aarenas-/Desktop/globant_piscine/pokeapi/pokeapi/pokeapi/views.py first seen with mtime 1729601183.407049
DEBUG 2024-10-22 12:56:39,428 autoreload File /usr/lib/python3/dist-packages/yaml/scanner.py first seen with mtime 1611178924.0
DEBUG 2024-10-22 12:56:39,428 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/templatetags/l10n.py first seen with mtime 1729519783.3523648
